alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
979-IC 24c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,163.025
980-IC 24d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,163.025
981-IC 21d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,163.0625
982-IC 19c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,163.1875
983-IC 19d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,163.1875
984-IC 18c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,163.625
985-IC 18d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,163.625
986-IC 23c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,163.7875
987-IC 17d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.0625
988-IC 15d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.0875
989-IC 13e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.1125
990-IC 11d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.1375
991-IC 9c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.1625
992-IC 9d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.1625
993-IC 9e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.1625
994-IC 4e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.225
995-IC 1d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.275
996-FLRE,Fire-Tac,Country Fire Authority,FMN,,BM,233.6 PL,Public Safety,VHF,,Current Allocation,163.5875
997-FLRE,Fire-Tac,Country Fire Authority,FMN,,BM,233.6 PL,Public Safety,VHF,,Current Allocation,163.8125
998-FLRE,Fire-Tac,Country Fire Authority,FMN,,BM,233.6 PL,Public Safety,VHF,,Current Allocation,163.4875
999-FLRE,Fire-Tac,Country Fire Authority,FMN,,BM,218.1 PL,Public Safety,VHF,,Current Allocation,163.5875
Air Force,Aircraft,Department of Defence,FM,Department of Defence,,CSQ,Military,Air Force,AXAA,Statewide,126.200
BarwonPrison,Corrections,Department of Justice,FM,Barwon Prison,R,123.0 PL,Public Safety,Corrections Victoria,VL3SS,Current Allocation,486.175
MDT Job Disp,Data,Melbourne Taxi Cab Service,FM,MDT Job Dispatcher,F,CSQ,Business Group,Burwood,VH3HNC,Statewide Allocation,486.675
MDT Job Disp,Data,Melbourne Taxi Cab Service,FM,MDT Job Dispatcher,F,CSQ,Business Group,Burwood,VKV384,Statewide Allocation,488.925
Mt. Holden,Data,SPI Networks (Gas),FM,Mt. Holden,F,CSQ,Utility,Victorian Frequencies,VZ3GS,Current Allocation,492.750
Ceres,Data,SPI Networks (Gas),FM,Ceres,F,CSQ,Utility,Victorian Frequencies,VZ3GS,Current Allocation,492.775
Ferny Creek,Data,SPI Networks (Gas),FM,Ferny Creek,F,CSQ,Utility,Victorian Frequencies,VZ3GS,Current Allocation,493.275
Mt Buninyong,Data,SPI Networks (Gas),FM,Mt. Buninyong,F,CSQ,Utility,Victorian Frequencies,VZ3GS,Current Allocation,493.350
MelborneCity,Data,SPI Networks (Gas),FM,Melbourne City,F,CSQ,Utility,Victorian Frequencies,VZ3GS,Current Allocation,493.725
Arthurs Seat,Data,SPI Networks (Gas),FM,Arthurs Seat,F,CSQ,Utility,Victorian Frequencies,VZ3GS,Current Allocation,493.800
MDT Job Dis,Data,Silver Top Taxi Service,FM,MDT Job Dispatcher,F,CSQ,Business Group,Carlton,VH3KF,Statewide Allocation,488.725
SJAA CH 1,Emergency Ops,St John Ambulance,FM,SJAA CH 1,RM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.150
SJAA CH 3,Emergency Ops,St John Ambulance,FM,SJAA CH 3,RM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,465.9875
SJAA CH 2,Emergency Ops,St John Ambulance,FM,SJAA CH 2,RM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.400
SJAA CH 4,Emergency Ops,St John Ambulance,FM,SJAA CH 4,RM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.975
SJAA CH 5,Emergency Ops,St John Ambulance,FM,SJAA CH 5,RM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.000
SJAA CH 6,Emergency Ops,St John Ambulance,FM,SJAA CH 6,RM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,419.9625
SJAA CH 7,Emergency Ops,St John Ambulance,FM,SJAA CH 7,RM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,463.575
SJAA CH 8,Emergency Ops,St John Ambulance,FM,SJAA CH 8,RM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,462.850
SJAA CH 9,Emergency Ops,St John Ambulance,FM,SJAA CH 9,RM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,419.875
SJAA CH 10,Emergency Ops,St John Ambulance,FM,SJAA CH 10,RM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,472.925
SJAA CH 11,Emergency Ops,St John Ambulance,FMN,SJAA CH 11,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.150
SJAA CH 12,Emergency Ops,St John Ambulance,FMN,SJAA CH 12,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.400
SJAA CH 13,Emergency Ops,St John Ambulance,FMN,SJAA CH 13,BM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,465.9875
SJAA CH 14,Emergency Ops,St John Ambulance,FMN,SJAA CH 14,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.975
SJAA CH 15,Emergency Ops,St John Ambulance,FMN,SJAA CH 15,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,470.000
SJAA CH 16,Emergency Ops,St John Ambulance,FMN,SJAA CH 16,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,419.9625
SJAA CH 17,Emergency Ops,St John Ambulance,FMN,SJAA CH 17,BM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,463.575
SJAA CH 18,Emergency Ops,St John Ambulance,FMN,SJAA CH 18,BM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,462.850
SJAA CH 19,Emergency Ops,St John Ambulance,FMN,SJAA CH 19,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,419.875
SJAA CH 20,Emergency Ops,St John Ambulance,FMN,SJAA CH 20,BM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,472.925
SJAA CH 21,Emergency Ops,St John Ambulance,FMN,SJAA CH 21,BM,107.2 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,411.400
SJAA CH 22,Emergency Ops,St John Ambulance,FMN,SJAA CH 22,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,412.100
SJAA CH 23,Emergency Ops,St John Ambulance,FMN,SJAA CH 23,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,469.525
SJAA CH 24,Emergency Ops,St John Ambulance,FMN,SJAA CH 24,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,462.0375
SJAA CH 25,Emergency Ops,St John Ambulance,FMN,SJAA CH 25,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,472.150
SJAA CH 26,Emergency Ops,St John Ambulance,FMN,SJAA CH 26,BM,114.8 PL,Public Safety,Victorian Frequencies,VM3SJ,Current Allocation,472.200
CH 66,Railroad,VicTrack,FM,CRT Group - Shunting,M,107.2 PL,Railroad,Altona North,VZ3RS,Statewide Allocation,411.350
